"","external_gene_name","description","gene_biotype"
"1","Ifi44l","interferon-induced protein 44 like [Source:MGI Symbol;Acc:MGI:95975]","protein_coding"
"2","Gm29151","predicted gene 29151 [Source:MGI Symbol;Acc:MGI:5579857]","lncRNA"
"3","Arl14","ADP-ribosylation factor-like 14 [Source:MGI Symbol;Acc:MGI:1918869]","protein_coding"
"4","Gm43774","predicted gene 43774 [Source:MGI Symbol;Acc:MGI:5663911]","lncRNA"
"5","Gm43768","predicted gene 43768 [Source:MGI Symbol;Acc:MGI:5663905]","lncRNA"
"6","Sis","sucrase isomaltase [Source:MGI Symbol;Acc:MGI:1917233]","protein_coding"
"7","Bche","butyrylcholinesterase [Source:MGI Symbol;Acc:MGI:894278]","protein_coding"
"8","Wdr49","WD repeat domain 49 [Source:MGI Symbol;Acc:MGI:3645287]","protein_coding"
"9","4921511C10Rik","RIKEN cDNA 4921511C10 gene [Source:MGI Symbol;Acc:MGI:1918174]","lncRNA"
"10","Gm42664","predicted gene 42664 [Source:MGI Symbol;Acc:MGI:5662801]","lncRNA"
"11","Zfp267","zinc finger protein 267 [Source:MGI Symbol;Acc:MGI:1098769]","protein_coding"
"12","Gm37240","predicted gene, 37240 [Source:MGI Symbol;Acc:MGI:5610468]","protein_coding"
"13","Il2","interleukin 2 [Source:MGI Symbol;Acc:MGI:96548]","protein_coding"
"14","Il21","interleukin 21 [Source:MGI Symbol;Acc:MGI:1890474]","protein_coding"
"15","Gm12534","predicted gene 12534 [Source:MGI Symbol;Acc:MGI:3650303]","lncRNA"
"16","Gm20755","predicted gene, 20755 [Source:MGI Symbol;Acc:MGI:5434111]","lncRNA"
"17","Fat4","FAT atypical cadherin 4 [Source:MGI Symbol;Acc:MGI:3045256]","protein_coding"
"18","Gm43729","predicted gene 43729 [Source:MGI Symbol;Acc:MGI:5663866]","lncRNA"
"19","Gm20628","predicted gene 20628 [Source:MGI Symbol;Acc:MGI:5313075]","lncRNA"
"20","Maml3","mastermind like transcriptional coactivator 3 [Source:MGI Symbol;Acc:MGI:2389461]","protein_coding"
"21","Gm37229","predicted gene, 37229 [Source:MGI Symbol;Acc:MGI:5610457]","lncRNA"
"22","Gm20402","predicted gene 20402 [Source:MGI Symbol;Acc:MGI:5141867]","lncRNA"
"23","2010110G14Rik","RIKEN cDNA 2010110G14 gene [Source:MGI Symbol;Acc:MGI:1917148]","lncRNA"
"24","Gm16206","predicted gene 16206 [Source:MGI Symbol;Acc:MGI:3801870]","lncRNA"
"25","Gm43254","predicted gene 43254 [Source:MGI Symbol;Acc:MGI:5663391]","lncRNA"
"26","Gm43024","predicted gene 43024 [Source:MGI Symbol;Acc:MGI:5663161]","lncRNA"
"27","Gm42717","predicted gene 42717 [Source:MGI Symbol;Acc:MGI:5662854]","lncRNA"
"28","Gm26820","predicted gene, 26820 [Source:MGI Symbol;Acc:MGI:5477314]","lncRNA"
"29","Gm43466","predicted gene 43466 [Source:MGI Symbol;Acc:MGI:5663603]","lncRNA"
"30","Gm42869","predicted gene 42869 [Source:MGI Symbol;Acc:MGI:5663006]","lncRNA"
"31","Gm43462","predicted gene 43462 [Source:MGI Symbol;Acc:MGI:5663599]","lncRNA"
"32","Gm43463","predicted gene 43463 [Source:MGI Symbol;Acc:MGI:5663600]","lncRNA"
"33","Gm8797","predicted pseudogene 8797 [Source:MGI Symbol;Acc:MGI:3643769]","protein_coding"
"34","Gm42939","predicted gene 42939 [Source:MGI Symbol;Acc:MGI:5663076]","lncRNA"
"35","Gm42938","predicted gene 42938 [Source:MGI Symbol;Acc:MGI:5663075]","lncRNA"
"36","Gm42937","predicted gene 42937 [Source:MGI Symbol;Acc:MGI:5663074]","lncRNA"
"37","Gm42941","predicted gene 42941 [Source:MGI Symbol;Acc:MGI:5663078]","lncRNA"
"38","Mex3a","mex3 RNA binding family member A [Source:MGI Symbol;Acc:MGI:1919890]","protein_coding"
"39","Gm16337","predicted gene 16337 [Source:MGI Symbol;Acc:MGI:3840131]","lncRNA"
"40","Slc10a5","solute carrier family 10 (sodium/bile acid cotransporter family), member 5 [Source:MGI Symbol;Acc:MGI:2685251]","protein_coding"
"41","0610031O16Rik","RIKEN cDNA 0610031O16 gene [Source:MGI Symbol;Acc:MGI:1915619]","lncRNA"
"42","Adh6a","alcohol dehydrogenase 6A (class V) [Source:MGI Symbol;Acc:MGI:1916367]","protein_coding"
"43","Gm43062","predicted gene 43062 [Source:MGI Symbol;Acc:MGI:5663199]","lncRNA"
"44","Gm43063","predicted gene 43063 [Source:MGI Symbol;Acc:MGI:5663200]","lncRNA"
